[ 2025-03-16 15:27:55,114 ] 17 root - INFO - Initiate the data ingestion
[ 2025-03-16 15:28:01,334 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-03-16 15:28:01,334 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-03-16 15:28:01,335 ] 75 root - INFO - Exporting train and test file path.
[ 2025-03-16 15:28:01,413 ] 84 root - INFO - Exported train and test file path.
[ 2025-03-16 15:28:01,414 ] 19 root - INFO - Data Initiation Completed
[ 2025-03-16 15:28:01,438 ] 23 root - INFO - Initiate the data Validation
[ 2025-03-16 15:28:01,638 ] 32 root - INFO - Required number of columns:2
[ 2025-03-16 15:28:01,638 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-16 15:28:02,021 ] 32 root - INFO - Required number of columns:2
[ 2025-03-16 15:28:02,022 ] 33 root - INFO - Data frame has columns:31
[ 2025-03-16 15:28:02,493 ] 25 root - INFO - data Validation Completed
